timeStep,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,robot_3_x,robot_3_y,robot_4_x,robot_4_y,robot_5_x,robot_5_y,robot_6_x,robot_6_y,robot_7_x,robot_7_y,robot_8_x,robot_8_y,robot_9_x,robot_9_y,robot_10_x,robot_10_y,robot_11_x,robot_11_y,robot_12_x,robot_12_y,robot_13_x,robot_13_y,robot_14_x,robot_14_y,robot_15_x,robot_15_y,robot_16_x,robot_16_y,robot_17_x,robot_17_y,robot_18_x,robot_18_y,robot_19_x,robot_19_y,robot_20_x,robot_20_y,robot_21_x,robot_21_y,robot_22_x,robot_22_y,robot_23_x,robot_23_y,robot_24_x,robot_24_y
3230,0.356295,0.650792,0.334803,0.69159,0.395807,0.735172,0.625302,0.745662,0.742222,0.34614,0.775517,0.329955,0.708242,0.478846,0.290963,0.815518,0.270999,0.849497,0.832937,0.535801,0.731519,0.39374,0.777537,0.282986,0.798778,0.507804,0.429239,0.37712,0.273981,0.750422,0.483019,0.400369,0.394417,0.311655,0.314589,0.729516,0.855385,0.246244,0.420333,0.290421,0.745525,0.252975,0.352486,0.832779,0.406152,0.351852,0.511734,0.578285,0.823612,0.369309
3240,0.356295,0.650792,0.334803,0.69159,0.395807,0.735172,0.624377,0.735361,0.742222,0.34614,0.775517,0.329955,0.716768,0.48109,0.297765,0.809298,0.272962,0.851491,0.832937,0.535801,0.731519,0.39374,0.777537,0.282986,0.798778,0.507804,0.429239,0.37712,0.274305,0.750725,0.473851,0.399305,0.393861,0.312673,0.314626,0.729467,0.848759,0.254777,0.41801,0.289678,0.745525,0.252975,0.355943,0.842865,0.406152,0.351852,0.505666,0.57482,0.823612,0.369309
3250,0.356295,0.650792,0.334803,0.69159,0.395807,0.735172,0.62559,0.72523,0.742222,0.34614,0.775517,0.329955,0.716768,0.48109,0.298895,0.803294,0.272962,0.851491,0.832937,0.535801,0.731519,0.39374,0.777537,0.282986,0.798778,0.507804,0.429239,0.37712,0.274305,0.750725,0.468246,0.391973,0.393861,0.312673,0.314626,0.729467,0.843113,0.263988,0.41801,0.289678,0.745525,0.252975,0.351042,0.852333,0.406152,0.351852,0.498728,0.573276,0.823612,0.369309
3260,0.356295,0.650792,0.334803,0.69159,0.395807,0.735172,0.627796,0.715076,0.742222,0.34614,0.775517,0.329955,0.716768,0.48109,0.298895,0.803294,0.272962,0.851491,0.830864,0.529988,0.731519,0.39374,0.777537,0.282986,0.798778,0.507804,0.429239,0.37712,0.274305,0.750725,0.468065,0.386775,0.393861,0.312673,0.314626,0.729467,0.838518,0.273765,0.41801,0.289678,0.745525,0.252975,0.340811,0.855333,0.406152,0.351852,0.492127,0.570989,0.823612,0.369309
3270,0.356295,0.650792,0.334803,0.69159,0.395807,0.735172,0.629699,0.704861,0.742222,0.34614,0.775517,0.329955,0.716768,0.48109,0.298895,0.803294,0.272962,0.851491,0.830864,0.529988,0.731519,0.39374,0.777537,0.282986,0.798778,0.507804,0.429239,0.37712,0.274305,0.750725,0.468065,0.386775,0.393861,0.312673,0.314626,0.729467,0.835028,0.28399,0.41801,0.289678,0.745525,0.252975,0.337006,0.854342,0.406152,0.351852,0.485198,0.569822,0.823612,0.369309
3280,0.356295,0.650792,0.334803,0.69159,0.395807,0.735172,0.631297,0.694595,0.742222,0.34614,0.775517,0.329955,0.719317,0.483034,0.298895,0.803294,0.272962,0.851491,0.830864,0.529988,0.730758,0.393416,0.777537,0.282986,0.798778,0.507804,0.429239,0.37712,0.274305,0.750725,0.468065,0.386775,0.393861,0.312673,0.314626,0.729467,0.833139,0.291973,0.41801,0.289678,0.745525,0.252975,0.337006,0.854342,0.406152,0.351852,0.478178,0.570687,0.823612,0.369309
3290,0.356295,0.650792,0.334803,0.69159,0.395807,0.735172,0.635146,0.685344,0.742222,0.34614,0.775517,0.329955,0.719317,0.483034,0.298895,0.803294,0.272962,0.851491,0.830864,0.529988,0.723955,0.387412,0.777537,0.282986,0.798778,0.507804,0.429239,0.37712,0.274305,0.750725,0.468065,0.386775,0.393861,0.312673,0.314626,0.729467,0.833139,0.291973,0.41801,0.289678,0.745525,0.252975,0.337006,0.854342,0.406152,0.351852,0.471424,0.572903,0.823612,0.369309
3300,0.356295,0.650792,0.334803,0.69159,0.395807,0.735172,0.643858,0.680071,0.742222,0.34614,0.776923,0.331351,0.719317,0.483034,0.298895,0.803294,0.272962,0.851491,0.830864,0.529988,0.7147,0.388,0.769732,0.283974,0.796543,0.505748,0.429239,0.37712,0.274305,0.750725,0.468065,0.386775,0.393861,0.312673,0.314626,0.729467,0.833139,0.291973,0.41801,0.289678,0.745525,0.252975,0.337006,0.854342,0.406152,0.351852,0.465089,0.576127,0.823612,0.369309
3310,0.356295,0.650792,0.334803,0.69159,0.386766,0.738411,0.654044,0.678665,0.742222,0.34614,0.778377,0.332416,0.719317,0.483034,0.298895,0.803294,0.272962,0.851491,0.830864,0.529988,0.708732,0.395099,0.758533,0.287327,0.796542,0.505747,0.429239,0.37712,0.274305,0.750725,0.468065,0.386775,0.393861,0.312673,0.314626,0.729467,0.833139,0.291973,0.41801,0.289678,0.745525,0.252975,0.337006,0.854342,0.406152,0.351852,0.459334,0.580271,0.823612,0.369309
3320,0.356295,0.650792,0.334803,0.69159,0.377829,0.733924,0.663544,0.675597,0.742222,0.34614,0.778377,0.332416,0.719317,0.483034,0.298895,0.803294,0.272962,0.851491,0.830864,0.529988,0.708332,0.400314,0.758525,0.28733,0.796542,0.505747,0.429239,0.37712,0.274305,0.750725,0.468065,0.386775,0.393861,0.312673,0.314626,0.729467,0.833139,0.291973,0.41801,0.289678,0.745525,0.252975,0.337006,0.854342,0.406152,0.351852,0.45294,0.582684,0.823612,0.369309
3330,0.356295,0.650792,0.334803,0.69159,0.375527,0.724192,0.668333,0.666716,0.742222,0.34614,0.778377,0.332416,0.719317,0.483034,0.298895,0.803294,0.272962,0.851491,0.830864,0.529988,0.708332,0.400314,0.758525,0.28733,0.796542,0.505747,0.42894,0.377212,0.274305,0.750725,0.468065,0.386775,0.393861,0.312673,0.314626,0.729467,0.833139,0.291973,0.41801,0.289678,0.745525,0.252975,0.337006,0.854342,0.406143,0.351803,0.445908,0.58372,0.823612,0.369309
3340,0.356295,0.650792,0.334803,0.69159,0.381507,0.716177,0.670532,0.656564,0.742222,0.34614,0.778377,0.332416,0.719317,0.483034,0.298895,0.803294,0.272962,0.851491,0.830864,0.529988,0.708332,0.400314,0.758525,0.28733,0.796542,0.505747,0.430947,0.37426,0.274305,0.750725,0.468065,0.386775,0.393861,0.312673,0.314626,0.729467,0.833139,0.291973,0.41801,0.289678,0.745525,0.252975,0.337006,0.854342,0.405269,0.351309,0.439117,0.585819,0.823612,0.369309
3350,0.356295,0.650792,0.334803,0.69159,0.382967,0.715479,0.672413,0.646345,0.742222,0.34614,0.778377,0.332416,0.723866,0.490395,0.298895,0.803294,0.272962,0.851491,0.830864,0.529988,0.708332,0.400314,0.758525,0.28733,0.796542,0.505747,0.428616,0.37318,0.274305,0.750725,0.468065,0.386775,0.393853,0.312667,0.314626,0.729467,0.833139,0.291973,0.41801,0.289678,0.745525,0.252975,0.337006,0.854342,0.405262,0.351304,0.432767,0.588962,0.823612,0.369309
3360,0.356295,0.650792,0.334803,0.69159,0.382967,0.715479,0.67399,0.636075,0.742222,0.34614,0.778377,0.332416,0.721434,0.500281,0.298895,0.803294,0.272962,0.851491,0.830864,0.529988,0.708332,0.400314,0.758525,0.28733,0.796542,0.505747,0.428616,0.37318,0.274305,0.750725,0.468065,0.386775,0.393853,0.312667,0.314626,0.729467,0.833139,0.291973,0.41801,0.289678,0.745525,0.252975,0.337006,0.854342,0.405262,0.351304,0.426643,0.592131,0.823612,0.369309
3370,0.356295,0.650792,0.334803,0.69159,0.382967,0.715479,0.67526,0.625762,0.742222,0.34614,0.778377,0.332416,0.71686,0.50386,0.298895,0.803294,0.278212,0.855886,0.830864,0.529988,0.708332,0.400314,0.758525,0.28733,0.796212,0.505441,0.428616,0.37318,0.274305,0.750725,0.468065,0.386775,0.393853,0.312667,0.314626,0.729467,0.833139,0.291973,0.41801,0.289678,0.745525,0.252975,0.337006,0.854342,0.405262,0.351304,0.41988,0.591269,0.823612,0.369309
3380,0.356295,0.650792,0.334803,0.69159,0.382967,0.715479,0.676224,0.615417,0.742222,0.34614,0.778377,0.332416,0.71686,0.50386,0.298895,0.803294,0.287009,0.8581,0.830664,0.528512,0.708332,0.400314,0.758525,0.28733,0.787872,0.500262,0.428616,0.37318,0.274305,0.750725,0.468065,0.386775,0.39294,0.312785,0.314626,0.729467,0.833139,0.291973,0.419841,0.292999,0.745525,0.252975,0.337006,0.854342,0.405262,0.351304,0.413619,0.587942,0.823612,0.369309
3390,0.356295,0.650792,0.334803,0.69159,0.382967,0.715479,0.67577,0.605092,0.742222,0.34614,0.778377,0.332416,0.71686,0.50386,0.298895,0.803294,0.292104,0.856103,0.830454,0.526885,0.708332,0.400314,0.758525,0.28733,0.784363,0.499988,0.428616,0.37318,0.274305,0.750725,0.468065,0.386775,0.392747,0.312978,0.314626,0.729467,0.833139,0.291973,0.419481,0.292912,0.745525,0.252975,0.33901,0.852941,0.405262,0.351304,0.406931,0.585533,0.823612,0.369309
3400,0.356295,0.650792,0.334803,0.69159,0.382967,0.715479,0.673782,0.594916,0.742222,0.34614,0.778377,0.332416,0.71686,0.50386,0.298895,0.803294,0.294695,0.847577,0.830454,0.526885,0.708332,0.400314,0.758525,0.28733,0.784363,0.499988,0.428616,0.37318,0.274305,0.750725,0.468065,0.386775,0.392747,0.312978,0.314626,0.729467,0.833139,0.291973,0.419481,0.292912,0.745525,0.252975,0.33901,0.852941,0.405262,0.351304,0.399954,0.584175,0.823612,0.369309
